age,revenus,situation_familiale,anciennete_emploi,duree_credit,montant_credit,taux_endettement,nombre_enfants,score_banque,historique_paiement,appetence_conso,appetence_immo,score_appetence,observations_forces,observations_faiblesses
67,31183,2,18,317,176040,0.1,2,725,0,,,0.35,Taux endettement Faible (0); Age Élevé (67),N/A
41,32445,0,16,41,461452,0.87,2,398,1,,,0.46,N/A,Taux endettement Élevé (1); Age Faible (41)
36,6502,0,11,94,87678,0.1,3,329,1,,,0.41,Taux endettement Faible (0),Age Faible (36)
53,26665,1,14,217,322279,0.01,1,590,1,,,0.35,Taux endettement Faible (0); Age Élevé (53),N/A
56,21198,0,11,323,426223,0.47,3,874,0,,,0.49,Taux endettement Faible (0); Age Élevé (56),N/A
27,26411,0,24,250,35158,0.73,3,786,0,,,0.48,N/A,Taux endettement Élevé (1); Age Faible (27)
42,20867,2,8,92,81587,0.46,2,705,1,,,0.42,Taux endettement Faible (0),Age Faible (42)
35,19266,0,4,245,407331,0.05,4,327,1,,,0.43,Taux endettement Faible (0),Age Faible (35)
36,36213,1,3,325,487776,0.69,1,445,0,,,0.47,N/A,Taux endettement Élevé (1); Age Faible (36)
53,12367,1,11,193,69317,0.64,3,587,0,,,0.56,Age Élevé (53),Taux endettement Élevé (1)
27,18490,0,15,62,16371,0.68,4,880,1,,,0.47,N/A,Taux endettement Élevé (1); Age Faible (27)
50,14219,1,8,118,366370,0.21,4,551,0,,,0.46,Taux endettement Faible (0); Age Élevé (50),N/A
67,11310,2,24,228,311499,0.8,3,461,0,,,0.43,Age Élevé (67),Taux endettement Élevé (1)
22,34631,2,2,75,370100,0.48,2,409,1,,,0.39,Taux endettement Faible (0),Age Faible (22)
64,19744,0,20,232,184447,0.54,0,697,0,,,0.52,Age Élevé (64),Taux endettement Élevé (1)
66,24867,0,2,261,123538,0.55,3,570,1,,,0.52,Age Élevé (66),Taux endettement Élevé (1)
52,23625,2,17,185,477832,0.29,2,487,1,,,0.48,Taux endettement Faible (0); Age Élevé (52),N/A
61,11378,1,16,189,208491,0.25,1,831,1,,,0.46,Taux endettement Faible (0); Age Élevé (61),N/A
51,24149,0,9,196,211429,0.0,2,575,1,,,0.29,Taux endettement Faible (0); Age Élevé (51),N/A
50,16422,0,1,237,112126,0.4,4,546,0,,,0.49,Taux endettement Faible (0); Age Élevé (50),N/A
38,32926,1,23,281,18338,0.49,1,623,0,,,0.45,Taux endettement Faible (0),Age Faible (38)
34,38171,0,10,238,163079,0.74,1,317,0,,,0.47,N/A,Taux endettement Élevé (1); Age Faible (34)
39,18180,1,23,59,274621,0.07,0,707,0,,,0.4,Taux endettement Faible (0),Age Faible (39)
65,32301,1,2,262,219743,0.92,0,710,1,,,0.47,Age Élevé (65),Taux endettement Élevé (1)
54,29014,1,22,95,314567,0.26,3,424,0,,,0.48,Taux endettement Faible (0); Age Élevé (54),N/A
32,35936,1,22,231,348117,0.37,2,619,1,,,0.43,Taux endettement Faible (0),Age Faible (32)
52,19336,1,1,252,451316,0.05,3,452,1,,,0.43,Taux endettement Faible (0); Age Élevé (52),N/A
45,27200,2,8,156,478254,0.65,0,880,1,,,0.5,Age Élevé (45),Taux endettement Élevé (1)
24,10470,1,18,118,301380,0.71,4,856,0,,,0.45,N/A,Taux endettement Élevé (1); Age Faible (24)
49,35859,2,1,274,141440,0.93,0,319,1,,,0.49,Age Élevé (49),Taux endettement Élevé (1)
28,19953,1,18,162,297983,0.34,2,546,1,,,0.41,Taux endettement Faible (0),Age Faible (28)
27,32433,0,1,352,127537,0.26,4,689,0,,,0.41,Taux endettement Faible (0),Age Faible (27)
26,30957,2,14,356,121902,0.73,3,646,1,,,0.47,N/A,Taux endettement Élevé (1); Age Faible (26)
31,11523,0,23,304,373195,0.71,3,775,0,,,0.45,N/A,Taux endettement Élevé (1); Age Faible (31)
30,26387,1,20,164,476314,0.94,0,502,0,,,0.5,N/A,Taux endettement Élevé (1); Age Faible (30)
42,36169,1,2,335,17139,0.21,0,308,1,,,0.42,Taux endettement Faible (0),Age Faible (42)
19,27990,0,4,230,168213,0.71,3,830,1,,,0.44,N/A,Taux endettement Élevé (1); Age Faible (19)
52,34661,1,10,19,380458,0.07,3,402,0,,,0.43,Taux endettement Faible (0); Age Élevé (52),N/A
24,18419,0,23,114,336406,0.48,1,545,0,,,0.4,Taux endettement Faible (0),Age Faible (24)
38,19457,1,6,101,147776,0.12,2,896,1,,,0.43,Taux endettement Faible (0),Age Faible (38)
35,7064,1,5,200,142959,0.65,1,618,1,,,0.55,N/A,Taux endettement Élevé (1); Age Faible (35)
20,15566,2,13,63,284119,0.6,1,650,1,,,0.46,N/A,Taux endettement Élevé (1); Age Faible (20)
59,38085,0,0,357,141616,0.05,3,533,1,,,0.41,Taux endettement Faible (0); Age Élevé (59),N/A
56,36528,1,16,299,94984,0.32,2,336,1,,,0.46,Taux endettement Faible (0); Age Élevé (56),N/A
58,11130,0,16,159,98366,0.4,3,644,1,,,0.47,Taux endettement Faible (0); Age Élevé (58),N/A
66,7042,2,13,69,187395,0.25,1,591,1,,,0.56,Taux endettement Faible (0); Age Élevé (66),N/A
28,9598,0,9,163,130491,0.04,1,316,1,,,0.37,Taux endettement Faible (0),Age Faible (28)
56,37886,2,7,270,60382,0.32,3,389,1,,,0.46,Taux endettement Faible (0); Age Élevé (56),N/A
41,38477,0,7,126,296070,0.79,0,647,1,,,0.42,N/A,Taux endettement Élevé (1); Age Faible (41)
63,33716,0,13,293,106538,0.36,0,743,0,,,0.45,Taux endettement Faible (0); Age Élevé (63),N/A
36,17601,2,6,16,123117,0.32,3,552,0,,,0.42,Taux endettement Faible (0),Age Faible (36)
21,13061,1,5,219,285477,0.94,4,892,0,,,0.47,N/A,Taux endettement Élevé (1); Age Faible (21)
43,13609,1,3,167,289086,0.04,4,483,0,,,0.33,Taux endettement Faible (0),Age Faible (43)
55,22485,1,0,110,221292,0.77,0,589,1,,,0.52,Age Élevé (55),Taux endettement Élevé (1)
59,25805,0,14,152,494840,0.48,2,514,0,,,0.49,Taux endettement Faible (0); Age Élevé (59),N/A
49,12857,0,24,187,425663,0.94,1,457,1,,,0.5,Age Élevé (49),Taux endettement Élevé (1)
56,16620,1,14,343,84397,0.39,2,692,1,,,0.48,Taux endettement Faible (0); Age Élevé (56),N/A
62,13177,0,0,42,165905,0.71,0,319,1,,,0.47,Age Élevé (62),Taux endettement Élevé (1)
63,35111,0,19,87,224062,0.07,3,770,1,,,0.37,Taux endettement Faible (0); Age Élevé (63),N/A
53,28042,1,2,17,469802,0.93,4,730,1,,,0.53,Age Élevé (53),Taux endettement Élevé (1)
57,23645,2,22,9,489174,0.34,0,367,0,,,0.48,Taux endettement Faible (0); Age Élevé (57),N/A
54,29405,0,4,48,293674,0.52,2,376,0,,,0.55,Age Élevé (54),Taux endettement Élevé (1)
50,16826,0,4,56,57060,0.14,2,401,0,,,0.44,Taux endettement Faible (0); Age Élevé (50),N/A
53,18890,0,3,266,91292,0.95,0,884,1,,,0.55,Age Élevé (53),Taux endettement Élevé (1)
20,21892,0,16,139,210630,0.67,1,506,0,,,0.45,N/A,Taux endettement Élevé (1); Age Faible (20)
26,14484,2,20,92,51104,0.05,2,512,0,,,0.46,Taux endettement Faible (0),Age Faible (26)
25,10495,1,19,61,12634,0.16,1,378,1,,,0.45,Taux endettement Faible (0),Age Faible (25)
50,33481,0,13,222,206282,0.4,1,412,1,,,0.49,Taux endettement Faible (0); Age Élevé (50),N/A
23,16267,1,7,73,233753,0.22,3,432,0,,,0.45,Taux endettement Faible (0),Age Faible (23)
58,11743,0,1,357,279432,0.3,0,496,1,,,0.46,Taux endettement Faible (0); Age Élevé (58),N/A
56,31569,2,7,49,215600,1.0,0,324,1,,,0.5,Age Élevé (56),Taux endettement Élevé (1)
21,33552,1,0,148,44253,0.66,1,771,0,,,0.47,N/A,Taux endettement Élevé (1); Age Faible (21)
30,33948,2,3,351,398772,0.92,3,842,0,,,0.5,N/A,Taux endettement Élevé (1); Age Faible (30)
66,15775,0,18,47,37005,0.44,2,589,1,,,0.5,Taux endettement Faible (0); Age Élevé (66),N/A
19,8557,2,4,144,258583,0.71,2,555,1,,,0.44,N/A,Taux endettement Élevé (1); Age Faible (19)
22,8587,2,4,78,321968,0.46,0,505,0,,,0.41,Taux endettement Faible (0),Age Faible (22)
61,21535,0,20,272,349846,0.33,1,774,0,,,0.44,Taux endettement Faible (0); Age Élevé (61),N/A
44,5954,0,19,199,234673,0.52,3,367,0,,,0.59,Age Élevé (44),Taux endettement Élevé (1)
49,28544,1,23,160,456790,0.43,3,514,1,,,0.5,Taux endettement Faible (0); Age Élevé (49),N/A
38,38455,0,18,251,27798,0.98,2,721,0,,,0.44,N/A,Taux endettement Élevé (1); Age Faible (38)
25,20138,1,11,319,463928,0.5,2,857,0,,,0.43,Taux endettement Faible (0),Age Faible (25)
55,8127,2,19,223,170373,0.81,4,880,0,,,0.56,Age Élevé (55),Taux endettement Élevé (1)
25,28147,2,0,258,65267,0.67,4,838,1,,,0.48,N/A,Taux endettement Élevé (1); Age Faible (25)
67,16559,1,6,282,407110,0.48,1,761,1,,,0.47,Taux endettement Faible (0); Age Élevé (67),N/A
20,8395,0,16,282,13846,0.47,4,754,0,,,0.42,Taux endettement Faible (0),Age Faible (20)
61,30389,0,1,77,73571,0.34,3,600,1,,,0.46,Taux endettement Faible (0); Age Élevé (61),N/A
20,5845,2,10,134,286625,0.11,4,587,0,,,0.41,Taux endettement Faible (0),Age Faible (20)
39,38932,1,6,191,134908,0.76,0,301,0,,,0.46,N/A,Taux endettement Élevé (1); Age Faible (39)
23,18731,2,16,18,52154,0.92,0,319,0,,,0.48,N/A,Taux endettement Élevé (1); Age Faible (23)
19,38122,2,2,334,192248,0.22,2,776,1,,,0.38,Taux endettement Faible (0),Age Faible (19)
40,8832,0,21,225,139447,0.93,2,790,0,,,0.46,N/A,Taux endettement Élevé (1); Age Faible (40)
61,37332,1,5,11,459844,0.23,1,556,1,,,0.46,Taux endettement Faible (0); Age Élevé (61),N/A
19,17467,2,21,244,498973,0.53,0,752,1,,,0.37,N/A,Taux endettement Élevé (1); Age Faible (19)
55,18107,0,10,117,254372,0.34,1,737,0,,,0.48,Taux endettement Faible (0); Age Élevé (55),N/A
34,17458,2,17,233,18048,0.11,1,697,1,,,0.44,Taux endettement Faible (0),Age Faible (34)
52,33666,2,17,22,37386,0.05,4,452,0,,,0.43,Taux endettement Faible (0); Age Élevé (52),N/A
51,7581,0,21,78,174408,0.37,2,521,0,,,0.51,Taux endettement Faible (0); Age Élevé (51),N/A
40,14582,0,9,17,114794,0.05,1,735,0,,,0.42,Taux endettement Faible (0),Age Faible (40)
47,13418,1,4,91,427069,0.1,1,435,0,,,0.35,Taux endettement Faible (0); Age Élevé (47),N/A
69,33091,2,22,185,306857,0.14,2,827,1,,,0.39,Taux endettement Faible (0); Age Élevé (69),N/A
25,34113,1,22,127,460906,0.0,2,578,0,,,0.36,Taux endettement Faible (0),Age Faible (25)
39,23827,0,20,209,157863,0.15,0,884,0,,,0.4,Taux endettement Faible (0),Age Faible (39)
61,19419,0,23,75,472980,0.58,2,784,0,,,0.51,Age Élevé (61),Taux endettement Élevé (1)
53,16814,2,21,113,87481,0.82,4,845,0,,,0.51,Age Élevé (53),Taux endettement Élevé (1)
22,38804,1,14,206,444789,0.19,0,544,1,,,0.41,Taux endettement Faible (0),Age Faible (22)
30,15024,1,20,57,312043,0.08,1,317,1,,,0.4,Taux endettement Faible (0),Age Faible (30)
46,12435,2,19,42,100217,0.73,4,855,0,,,0.47,Age Élevé (46),Taux endettement Élevé (1)
48,6548,2,22,122,287119,0.01,4,442,1,,,0.26,Taux endettement Faible (0); Age Élevé (48),N/A
64,10065,1,3,264,254985,0.73,0,800,0,,,0.48,Age Élevé (64),Taux endettement Élevé (1)
33,27880,0,20,269,83247,0.13,1,826,0,,,0.44,Taux endettement Faible (0),Age Faible (33)
59,8407,0,20,308,120295,0.23,0,392,0,,,0.53,Taux endettement Faible (0); Age Élevé (59),N/A
47,38407,2,0,69,391189,0.12,3,682,1,,,0.39,Taux endettement Faible (0); Age Élevé (47),N/A
33,37940,1,14,47,284249,0.25,3,578,0,,,0.44,Taux endettement Faible (0),Age Faible (33)
29,10666,1,16,48,59645,0.8,0,748,1,,,0.45,N/A,Taux endettement Élevé (1); Age Faible (29)
34,30092,1,18,130,402435,0.13,1,882,1,,,0.45,Taux endettement Faible (0),Age Faible (34)
33,15109,0,13,275,302290,0.99,1,587,0,,,0.47,N/A,Taux endettement Élevé (1); Age Faible (33)
29,39932,0,18,352,221846,0.33,2,775,1,,,0.41,Taux endettement Faible (0),Age Faible (29)
25,31505,1,17,238,407084,0.92,4,470,0,,,0.47,N/A,Taux endettement Élevé (1); Age Faible (25)
37,12746,1,1,137,456753,0.19,0,824,1,,,0.44,Taux endettement Faible (0),Age Faible (37)
20,16975,2,5,7,316438,0.19,4,671,1,,,0.38,Taux endettement Faible (0),Age Faible (20)
33,20596,2,12,120,464480,0.57,4,692,1,,,0.49,N/A,Taux endettement Élevé (1); Age Faible (33)
47,38861,1,16,6,347740,0.05,3,484,1,,,0.42,Taux endettement Faible (0); Age Élevé (47),N/A
62,8880,1,5,336,408649,0.8,3,809,0,,,0.47,Age Élevé (62),Taux endettement Élevé (1)
40,7785,0,20,70,32612,0.44,0,731,0,,,0.55,Taux endettement Faible (0),Age Faible (40)
45,27449,1,21,130,421038,0.7,0,508,0,,,0.48,Age Élevé (45),Taux endettement Élevé (1)
68,19799,2,4,261,44120,0.17,1,628,0,,,0.39,Taux endettement Faible (0); Age Élevé (68),N/A
57,8990,0,6,327,182076,0.64,0,660,0,,,0.5,Age Élevé (57),Taux endettement Élevé (1)
22,24073,2,0,148,31294,0.59,1,743,0,,,0.5,N/A,Taux endettement Élevé (1); Age Faible (22)
37,19549,2,12,333,94300,0.76,1,740,0,,,0.45,N/A,Taux endettement Élevé (1); Age Faible (37)
57,23259,0,18,251,211168,0.3,0,668,1,,,0.47,Taux endettement Faible (0); Age Élevé (57),N/A
61,24790,2,21,121,354263,0.93,1,405,1,,,0.5,Age Élevé (61),Taux endettement Élevé (1)
18,14979,1,0,308,353240,0.96,4,624,0,,,0.48,N/A,Taux endettement Élevé (1); Age Faible (18)
47,25316,2,12,95,145496,0.87,1,531,0,,,0.49,Age Élevé (47),Taux endettement Élevé (1)
38,31183,0,10,301,50615,0.57,4,548,1,,,0.49,N/A,Taux endettement Élevé (1); Age Faible (38)
37,33324,0,6,47,36863,0.42,4,616,1,,,0.43,Taux endettement Faible (0),Age Faible (37)
23,29624,0,19,40,253571,0.06,4,563,0,,,0.51,Taux endettement Faible (0),Age Faible (23)
39,25245,2,2,46,39469,0.95,2,802,0,,,0.45,N/A,Taux endettement Élevé (1); Age Faible (39)
35,28790,1,24,346,113101,0.95,2,562,1,,,0.48,N/A,Taux endettement Élevé (1); Age Faible (35)
25,31756,0,0,129,164256,0.02,1,715,1,,,0.39,Taux endettement Faible (0),Age Faible (25)
56,7833,1,7,62,361590,0.36,0,369,1,,,0.53,Taux endettement Faible (0); Age Élevé (56),N/A
49,10285,0,16,299,122613,0.88,1,533,1,,,0.5,Age Élevé (49),Taux endettement Élevé (1)
50,14589,1,12,240,491156,0.08,2,731,1,,,0.39,Taux endettement Faible (0); Age Élevé (50),N/A
33,19116,1,13,101,127456,0.2,3,353,0,,,0.45,Taux endettement Faible (0),Age Faible (33)
29,12645,1,4,324,176247,0.98,3,469,1,,,0.49,N/A,Taux endettement Élevé (1); Age Faible (29)
55,34150,0,23,348,457865,0.85,1,335,0,,,0.51,Age Élevé (55),Taux endettement Élevé (1)
69,15889,2,21,137,73872,0.91,2,558,1,,,0.47,Age Élevé (69),Taux endettement Élevé (1)
51,35286,2,22,181,472543,0.14,4,550,0,,,0.43,Taux endettement Faible (0); Age Élevé (51),N/A
31,20994,2,23,57,42208,0.21,2,312,0,,,0.44,Taux endettement Faible (0),Age Faible (31)
53,29662,1,5,43,193517,0.61,1,840,0,,,0.57,Age Élevé (53),Taux endettement Élevé (1)
50,31639,0,21,348,61998,0.5,2,356,0,,,0.5,Taux endettement Faible (0); Age Élevé (50),N/A
40,22205,1,5,10,329138,0.3,3,460,0,,,0.43,Taux endettement Faible (0),Age Faible (40)
67,37930,0,20,218,253783,0.88,4,736,1,,,0.45,Age Élevé (67),Taux endettement Élevé (1)
62,12777,1,7,125,193535,0.9,1,529,0,,,0.48,Age Élevé (62),Taux endettement Élevé (1)
19,33315,0,12,331,69895,0.29,1,492,1,,,0.33,Taux endettement Faible (0),Age Faible (19)
58,31973,0,17,214,478381,0.16,0,656,0,,,0.44,Taux endettement Faible (0); Age Élevé (58),N/A
38,23316,0,22,222,42894,0.15,4,651,1,,,0.43,Taux endettement Faible (0),Age Faible (38)
19,32304,1,3,29,31990,0.48,1,557,0,,,0.35,Taux endettement Faible (0),Age Faible (19)
44,35522,2,16,347,445796,0.13,2,592,0,,,0.39,Taux endettement Faible (0); Age Élevé (44),N/A
26,27340,1,4,210,83230,0.47,2,685,1,,,0.42,Taux endettement Faible (0),Age Faible (26)
18,24830,1,2,231,46087,0.46,2,533,1,,,0.36,Taux endettement Faible (0),Age Faible (18)
28,18403,0,3,223,280817,0.88,2,595,1,,,0.5,N/A,Taux endettement Élevé (1); Age Faible (28)
20,19516,0,22,216,179271,0.3,1,836,1,,,0.34,Taux endettement Faible (0),Age Faible (20)
69,24091,2,4,31,304331,0.56,3,678,1,,,0.48,Age Élevé (69),Taux endettement Élevé (1)
40,12959,2,13,257,473130,0.74,4,509,0,,,0.49,N/A,Taux endettement Élevé (1); Age Faible (40)
43,36932,0,14,8,295697,0.6,2,838,0,,,0.49,N/A,Taux endettement Élevé (1); Age Faible (43)
21,35554,2,19,7,257881,0.95,1,477,0,,,0.47,N/A,Taux endettement Élevé (1); Age Faible (21)
35,8385,2,16,97,193359,0.6,1,855,1,,,0.54,N/A,Taux endettement Élevé (1); Age Faible (35)
23,38690,0,5,7,315924,0.9,2,371,0,,,0.47,N/A,Taux endettement Élevé (1); Age Faible (23)
52,15367,1,9,155,114794,0.25,0,807,1,,,0.5,Taux endettement Faible (0); Age Élevé (52),N/A
39,38332,2,21,76,491276,0.56,1,521,0,,,0.49,N/A,Taux endettement Élevé (1); Age Faible (39)
60,24642,0,22,9,249939,0.54,4,527,1,,,0.5,Age Élevé (60),Taux endettement Élevé (1)
32,15789,2,15,43,92158,0.99,4,532,1,,,0.47,N/A,Taux endettement Élevé (1); Age Faible (32)
39,25950,2,16,75,11420,0.2,0,567,0,,,0.42,Taux endettement Faible (0),Age Faible (39)
54,30563,0,13,206,188512,0.14,1,553,1,,,0.47,Taux endettement Faible (0); Age Élevé (54),N/A
69,37991,2,19,313,206948,0.61,0,305,0,,,0.49,Age Élevé (69),Taux endettement Élevé (1)
59,5350,2,11,257,54310,0.22,1,346,0,,,0.6,Taux endettement Faible (0); Age Élevé (59),N/A
29,23312,2,8,292,246896,0.64,1,706,1,,,0.49,N/A,Taux endettement Élevé (1); Age Faible (29)
64,29127,1,14,297,53953,0.97,0,879,0,,,0.48,Age Élevé (64),Taux endettement Élevé (1)
66,33853,1,11,159,277131,0.95,3,553,1,,,0.47,Age Élevé (66),Taux endettement Élevé (1)
59,38785,2,13,138,232670,0.23,2,748,1,,,0.48,Taux endettement Faible (0); Age Élevé (59),N/A
55,23610,0,21,79,186589,0.17,2,358,0,,,0.48,Taux endettement Faible (0); Age Élevé (55),N/A
35,28590,2,17,279,42456,0.56,2,692,1,,,0.49,N/A,Taux endettement Élevé (1); Age Faible (35)
62,34443,2,19,276,128763,0.59,0,859,1,,,0.5,Age Élevé (62),Taux endettement Élevé (1)
52,12170,1,5,190,179252,0.66,1,490,0,,,0.55,Age Élevé (52),Taux endettement Élevé (1)
47,18303,1,3,358,465453,0.74,1,564,1,,,0.49,Age Élevé (47),Taux endettement Élevé (1)
41,11207,1,22,10,231916,0.6,4,857,1,,,0.47,N/A,Taux endettement Élevé (1); Age Faible (41)
59,17316,2,11,298,95398,0.11,1,442,1,,,0.4,Taux endettement Faible (0); Age Élevé (59),N/A
47,11240,2,12,91,460721,0.79,3,545,1,,,0.45,Age Élevé (47),Taux endettement Élevé (1)
31,6893,0,18,219,214278,0.08,2,515,0,,,0.41,Taux endettement Faible (0),Age Faible (31)
23,18753,2,21,20,127183,0.02,3,736,0,,,0.39,Taux endettement Faible (0),Age Faible (23)
20,16232,2,12,278,361926,0.77,2,775,0,,,0.45,N/A,Taux endettement Élevé (1); Age Faible (20)
33,22509,1,11,56,482518,0.55,0,683,0,,,0.48,N/A,Taux endettement Élevé (1); Age Faible (33)
24,8117,1,19,258,394884,0.7,3,846,0,,,0.49,N/A,Taux endettement Élevé (1); Age Faible (24)
69,9042,1,2,50,270360,0.38,1,714,0,,,0.47,Taux endettement Faible (0); Age Élevé (69),N/A
31,31746,1,2,196,39681,0.01,2,431,1,,,0.35,Taux endettement Faible (0),Age Faible (31)
26,19016,1,13,127,280467,0.33,4,697,1,,,0.4,Taux endettement Faible (0),Age Faible (26)
32,30022,0,17,192,339537,0.61,3,806,1,,,0.49,N/A,Taux endettement Élevé (1); Age Faible (32)
38,32938,0,18,219,188295,0.23,0,452,1,,,0.43,Taux endettement Faible (0),Age Faible (38)
52,13787,0,9,154,106123,0.69,4,859,1,,,0.55,Age Élevé (52),Taux endettement Élevé (1)
19,6986,1,16,175,101354,0.79,0,467,0,,,0.5,N/A,Taux endettement Élevé (1); Age Faible (19)
44,15942,1,14,214,464048,0.45,2,529,0,,,0.46,Taux endettement Faible (0); Age Élevé (44),N/A
19,22458,1,18,87,166319,0.88,3,703,1,,,0.44,N/A,Taux endettement Élevé (1); Age Faible (19)
52,17161,0,8,201,370952,0.85,0,443,0,,,0.5,Age Élevé (52),Taux endettement Élevé (1)
35,25689,1,3,251,225148,0.88,4,830,0,,,0.49,N/A,Taux endettement Élevé (1); Age Faible (35)
31,34163,0,14,350,232445,0.66,4,367,0,,,0.47,N/A,Taux endettement Élevé (1); Age Faible (31)
37,38737,1,18,45,280628,0.3,1,397,0,,,0.41,Taux endettement Faible (0),Age Faible (37)
35,13772,2,15,173,171754,0.48,0,306,0,,,0.44,Taux endettement Faible (0),Age Faible (35)
27,6211,0,7,48,80459,0.71,3,476,1,,,0.51,N/A,Taux endettement Élevé (1); Age Faible (27)
42,5229,2,16,334,137162,0.21,3,505,1,,,0.57,Taux endettement Faible (0),Age Faible (42)
19,19345,0,20,216,445235,0.74,1,598,0,,,0.46,N/A,Taux endettement Élevé (1); Age Faible (19)
42,36819,1,0,184,353600,0.55,4,528,0,,,0.46,N/A,Taux endettement Élevé (1); Age Faible (42)
50,21885,1,6,28,446479,0.1,0,569,0,,,0.36,Taux endettement Faible (0); Age Élevé (50),N/A
53,31708,2,20,100,163010,0.56,4,380,1,,,0.55,Age Élevé (53),Taux endettement Élevé (1)
48,5048,1,17,165,64890,0.07,0,487,0,,,0.48,Taux endettement Faible (0); Age Élevé (48),N/A
31,24950,0,11,249,23319,0.01,0,800,0,,,0.35,Taux endettement Faible (0),Age Faible (31)
18,20173,1,15,22,379841,0.89,0,786,0,,,0.46,N/A,Taux endettement Élevé (1); Age Faible (18)
63,38737,1,0,117,136193,0.49,4,787,0,,,0.49,Taux endettement Faible (0); Age Élevé (63),N/A
33,33036,0,14,108,331576,0.54,4,777,1,,,0.47,N/A,Taux endettement Élevé (1); Age Faible (33)
63,10820,2,6,319,463988,0.28,4,588,1,,,0.45,Taux endettement Faible (0); Age Élevé (63),N/A
69,19292,2,16,91,410116,0.54,2,405,0,,,0.48,Age Élevé (69),Taux endettement Élevé (1)
20,8052,1,2,40,77696,0.17,4,875,1,,,0.44,Taux endettement Faible (0),Age Faible (20)
52,28781,0,10,35,419452,0.75,1,522,0,,,0.52,Age Élevé (52),Taux endettement Élevé (1)
58,7302,2,5,197,467471,0.82,2,681,1,,,0.5,Age Élevé (58),Taux endettement Élevé (1)
23,7283,2,5,184,328629,0.86,0,403,0,,,0.49,N/A,Taux endettement Élevé (1); Age Faible (23)
42,20620,1,14,109,132359,0.11,3,413,1,,,0.38,Taux endettement Faible (0),Age Faible (42)
30,35461,0,6,170,203365,0.56,2,807,0,,,0.48,N/A,Taux endettement Élevé (1); Age Faible (30)
51,25750,2,10,127,147293,0.81,2,354,0,,,0.48,Age Élevé (51),Taux endettement Élevé (1)
25,37890,1,16,139,35294,0.13,0,420,0,,,0.46,Taux endettement Faible (0),Age Faible (25)
38,28183,1,22,295,151110,0.1,4,516,0,,,0.39,Taux endettement Faible (0),Age Faible (38)
51,14472,1,17,317,488403,0.82,4,302,1,,,0.48,Age Élevé (51),Taux endettement Élevé (1)
21,8727,1,21,229,194721,0.8,2,391,1,,,0.45,N/A,Taux endettement Élevé (1); Age Faible (21)
42,30523,2,23,30,426576,0.45,4,706,1,,,0.43,Taux endettement Faible (0),Age Faible (42)
32,35766,0,20,18,18255,0.11,2,740,1,,,0.43,Taux endettement Faible (0),Age Faible (32)
21,5524,1,18,324,209307,0.52,3,731,0,,,0.49,N/A,Taux endettement Élevé (1); Age Faible (21)
62,14079,1,7,235,119429,0.39,3,360,1,,,0.45,Taux endettement Faible (0); Age Élevé (62),N/A
29,13399,2,23,107,97464,0.52,0,772,1,,,0.46,N/A,Taux endettement Élevé (1); Age Faible (29)
49,32370,1,19,208,451385,0.44,1,546,1,,,0.5,Taux endettement Faible (0); Age Élevé (49),N/A
49,21532,1,7,272,403588,0.57,1,671,1,,,0.53,Age Élevé (49),Taux endettement Élevé (1)
45,21821,0,20,227,456395,0.73,4,588,0,,,0.46,Age Élevé (45),Taux endettement Élevé (1)
30,8749,1,10,109,460865,0.77,1,889,0,,,0.48,N/A,Taux endettement Élevé (1); Age Faible (30)
48,16353,2,20,116,122848,0.65,3,323,1,,,0.54,Age Élevé (48),Taux endettement Élevé (1)
31,33477,0,2,74,422114,0.2,0,705,1,,,0.44,Taux endettement Faible (0),Age Faible (31)
37,29570,2,22,263,191155,0.4,3,607,0,,,0.43,Taux endettement Faible (0),Age Faible (37)
35,25837,0,13,173,33855,0.07,2,671,0,,,0.43,Taux endettement Faible (0),Age Faible (35)
46,16437,0,8,298,44758,0.45,4,514,1,,,0.48,Taux endettement Faible (0); Age Élevé (46),N/A
23,9551,1,24,54,259416,0.97,4,561,1,,,0.46,N/A,Taux endettement Élevé (1); Age Faible (23)
49,7823,1,0,255,412823,0.64,1,645,1,,,0.59,Age Élevé (49),Taux endettement Élevé (1)
46,17916,1,0,336,271272,0.15,2,712,1,,,0.39,Taux endettement Faible (0); Age Élevé (46),N/A
60,20167,2,11,80,115094,0.27,1,422,0,,,0.46,Taux endettement Faible (0); Age Élevé (60),N/A
19,13391,1,10,206,346233,0.06,1,619,0,,,0.45,Taux endettement Faible (0),Age Faible (19)
40,17658,1,20,39,277527,0.18,1,636,0,,,0.45,Taux endettement Faible (0),Age Faible (40)
36,34685,0,0,319,254951,0.49,2,457,0,,,0.45,Taux endettement Faible (0),Age Faible (36)
48,28380,1,19,116,70112,0.34,1,626,0,,,0.48,Taux endettement Faible (0); Age Élevé (48),N/A
68,33919,1,11,357,403931,0.2,4,364,0,,,0.41,Taux endettement Faible (0); Age Élevé (68),N/A
22,7311,1,16,321,150909,0.15,1,668,1,,,0.44,Taux endettement Faible (0),Age Faible (22)
36,18560,1,14,242,461102,0.66,2,303,0,,,0.48,N/A,Taux endettement Élevé (1); Age Faible (36)
51,30993,0,1,37,453915,0.56,2,359,1,,,0.53,Age Élevé (51),Taux endettement Élevé (1)
27,35492,1,17,214,89486,0.84,3,344,0,,,0.48,N/A,Taux endettement Élevé (1); Age Faible (27)
